Sales_Bracket, Observed_P,Observed_Failure,Cal_P_Geometric,Individual_p_Geometric,Power_Model_Distribution,Calculated_P_Neg_Bino,Individual_p_Neg_Bino,Mean,STDEV,
1,0.6865,0.3135,0.6865,0.6865,0.5602,FALSE,FALSE,1,0.82,
2,0.1132,0.8868,0.1004,0.1132,0.1384,FALSE,FALSE,9,8,
3,0.052,0.948,0.0468,0.052,0.0611,FALSE,FALSE,19,19,
4,0.0331,0.9669,0.0299,0.0331,0.0342,FALSE,FALSE,30,30,
5,0.0211,0.9789,0.0194,0.0211,0.0218,FALSE,FALSE,47,47,
6,0.0158,0.9842,0.0145,0.0158,0.0151,FALSE,FALSE,63,63,
7,0.0111,0.9889,0.0104,0.0111,0.0111,FALSE,FALSE,90,90,
8,0.009,0.991,0.0085,0.009,0.0084,FALSE,FALSE,111,111,
9,0.007,0.993,0.0066,0.007,0.0067,FALSE,FALSE,143,142,
10,0.006,0.994,0.0057,0.006,0.0054,FALSE,FALSE,167,166,
11,0.0051,0.9949,0.0048,0.0051,0.0044,FALSE,FALSE,196,196,
12,0.0042,0.9958,0.004,0.0042,0.0037,FALSE,FALSE,238,238,
13,0.0031,0.9969,0.003,0.0031,0.0032,FALSE,FALSE,323,322,
14,0.0027,0.9973,0.0026,0.0027,0.0027,FALSE,FALSE,370,370,
15,0.0028,0.9972,0.0027,0.0028,0.0024,FALSE,FALSE,357,357,
16,0.0026,0.9974,0.0025,0.0026,0.0021,FALSE,FALSE,385,384,
17,0.0019,0.9981,0.0019,0.0019,0.0018,FALSE,FALSE,526,526,
18,0.0019,0.9981,0.0018,0.0019,0.0016,FALSE,FALSE,526,526,
19,0.0016,0.9984,0.0016,0.0016,0.0015,FALSE,FALSE,625,624,
20,0.0017,0.9983,0.0017,0.0017,0.0013,FALSE,FALSE,588,588,
